Year,County,Hospital,OSHPDID,Measure,Risk Adjusted Rate,No of Deaths/Readmissions,No of Cases,Hospital Ratings,Location 
2012-2013,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,30-day Readmission,13.8,20.0,147.0,As Expected,"(33.73798, -118.30557)"
2012-2013,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,30-day Mortality,7.24,13.0,154.0,As Expected,"(33.73798, -118.30557)"
2012-2013,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,30-day Readmission,17.05,30.0,188.0,As Expected,"(34.02755, -118.48623)"
2012-2013,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,30-day Mortality,7.3,17.0,195.0,As Expected,"(34.02755, -118.48623)"
2012-2013,Los Angeles,Pacifica Hospital of the Valley,106190696,30-day Mortality,4.42,1.0,30.0,As Expected,"(34.24088, -118.39555)"
2012-2013,Los Angeles,Sherman Oaks Hospital,106190708,30-day Readmission,12.81,8.0,54.0,As Expected,"(34.15995, -118.4488)"
2012-2013,Los Angeles,Sherman Oaks Hospital,106190708,30-day Mortality,5.84,5.0,57.0,As Expected,"(34.15995, -118.4488)"
2012-2013,Los Angeles,Saint Francis Medical Center,106190754,30-day Mortality,5.39,8.0,208.0,As Expected,"(33.93085, -118.20415)"
2012-2013,Los Angeles,Saint Francis Medical Center,106190754,30-day Readmission,13.56,31.0,200.0,As Expected,"(33.93085, -118.20415)"
2012-2013,Los Angeles,Saint John’s Health Center,106190756,30-day Readmission,9.84,15.0,154.0,As Expected,"(34.0298085, -118.478687)"
2012-2013,Los Angeles,Saint John’s Health Center,106190756,30-day Mortality,7.83,14.0,159.0,As Expected,"(34.0298085, -118.478687)"
2012-2013,Los Angeles,Providence Saint Joseph Medical Center,106190758,30-day Readmission,13.68,69.0,507.0,As Expected,"(34.1559, -118.32711)"
2012-2013,Los Angeles,Providence Saint Joseph Medical Center,106190758,30-day Mortality,10.79,71.0,538.0,As Expected,"(34.1559, -118.32711)"
2012-2013,Los Angeles,Saint Vincent Medical Center,106190762,30-day Readmission,13.19,19.0,142.0,As Expected,"(34.06311, -118.27302)"
2012-2013,Los Angeles,Saint Vincent Medical Center,106190762,30-day Mortality,5.58,6.0,146.0,As Expected,"(34.06311, -118.27302)"
2012-2013,Los Angeles,Temple Community Hospital,106190784,30-day Readmission,18.64,12.0,56.0,As Expected,"(34.07534, -118.28366)"
2012-2013,Los Angeles,Temple Community Hospital,106190784,30-day Mortality,5.39,3.0,58.0,As Expected,"(34.07534, -118.28366)"
2012-2013,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,30-day Mortality,8.46,59.0,457.0,As Expected,"(34.068889, -118.445)"
2012-2013,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,30-day Readmission,14.87,63.0,417.0,As Expected,"(34.068889, -118.445)"
2012-2013,Los Angeles,Valley Presbyterian Hospital,106190812,30-day Readmission,10.38,24.0,208.0,As Expected,"(34.19399, -118.46196)"
2012-2013,Los Angeles,Valley Presbyterian Hospital,106190812,30-day Mortality,10.02,24.0,224.0,As Expected,"(34.19399, -118.46196)"
2012-2013,Los Angeles,University of Southern California Verdugo Hills Hospital,106190818,30-day Readmission,16.36,16.0,113.0,As Expected,"(34.20557, -118.2152)"
2012-2013,Los Angeles,University of Southern California Verdugo Hills Hospital,106190818,30-day Mortality,12.13,14.0,115.0,As Expected,"(34.20557, -118.2152)"
2012-2013,Los Angeles,West Hills Hospital and Medical Center,106190859,30-day Readmission,14.89,28.0,209.0,As Expected,"(34.20365, -118.6294)"
2012-2013,Los Angeles,West Hills Hospital and Medical Center,106190859,30-day Mortality,12.14,33.0,233.0,As Expected,"(34.20365, -118.6294)"
2012-2013,Los Angeles,White Memorial Medical Center,106190878,30-day Readmission,14.69,69.0,385.0,As Expected,"(34.051, -118.21739)"
2012-2013,Los Angeles,White Memorial Medical Center,106190878,30-day Mortality,5.54,21.0,398.0,Better,"(34.051, -118.21739)"
2012-2013,Los Angeles,Whittier Hospital Medical Center,106190883,30-day Readmission,11.91,13.0,99.0,As Expected,"(33.95379, -118.00303)"
2012-2013,Los Angeles,Whittier Hospital Medical Center,106190883,30-day Mortality,3.32,3.0,101.0,Better,"(33.95379, -118.00303)"
2012-2013,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,30-day Mortality,7.33,23.0,274.0,As Expected,"(34.39637, -118.55324)"
2012-2013,Los Angeles,Henry Mayo Newhall Memorial Hospital,106190949,30-day Readmission,15.23,40.0,260.0,As Expected,"(34.39637, -118.55324)"
2012-2013,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,30-day Readmission,13.37,35.0,282.0,As Expected,"(33.83149, -118.29332)"
2012-2013,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,30-day Mortality,11.64,12.0,292.0,As Expected,"(33.83149, -118.29332)"
2012-2013,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,30-day Readmission,13.45,26.0,217.0,As Expected,"(34.05982, -118.21031)"
2012-2013,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,30-day Mortality,27.65,28.0,242.0,Worse,"(34.05982, -118.21031)"
2012-2013,Los Angeles,Los Angeles County/Olive View – UCLA Medical Center,106191231,30-day Readmission,11.17,15.0,157.0,As Expected,"(34.32418, -118.45255)"
2012-2013,Los Angeles,Los Angeles County/Olive View – UCLA Medical Center,106191231,30-day Mortality,8.19,3.0,160.0,As Expected,"(34.32418, -118.45255)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Woodland Hills,106191450,30-day Readmission,10.08,29.0,257.0,As Expected,"(34.17198, -118.58829)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Woodland Hills,106191450,30-day Mortality,10.58,38.0,274.0,As Expected,"(34.17198, -118.58829)"
2012-2013,Los Angeles,Keck Hospital of University of Southern California,106194219,30-day Readmission,6.7,4.0,64.0,As Expected,"(34.06284, -118.20287)"
2012-2013,Los Angeles,Keck Hospital of University of Southern California,106194219,30-day Mortality,10.24,6.0,69.0,As Expected,"(34.06284, -118.20287)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Baldwin Park,106196035,30-day Readmission,11.66,49.0,393.0,As Expected,"(34.06348, -117.986)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Baldwin Park,106196035,30-day Mortality,14.27,41.0,403.0,As Expected,"(34.06348, -117.986)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Downey,106196403,30-day Readmission,12.61,45.0,329.0,As Expected,"(33.9171234, -118.1290216)"
2012-2013,Los Angeles,Kaiser Foundation Hospital – Downey,106196403,30-day Mortality,10.43,24.0,342.0,As Expected,"(33.9171234, -118.1290216)"
2012-2013,Los Angeles,Palmdale Regional Medical Center,106196405,30-day Readmission,12.17,19.0,160.0,As Expected,"(34.5843754, -118.1443461)"
2012-2013,Los Angeles,Palmdale Regional Medical Center,106196405,30-day Mortality,11.61,14.0,166.0,As Expected,"(34.5843754, -118.1443461)"
2012-2013,Madera,Madera Community Hospital,106201281,30-day Readmission,11.28,6.0,58.0,As Expected,"(36.94535, -120.04561)"
2012-2013,Madera,Madera Community Hospital,106201281,30-day Mortality,21.69,7.0,63.0,As Expected,"(36.94535, -120.04561)"
2012-2013,Marin,Kaiser Foundation Hospital – San Rafael,106210992,30-day Readmission,9.96,20.0,201.0,As Expected,"(38.0041, -122.55376)"
2012-2013,Marin,Kaiser Foundation Hospital – San Rafael,106210992,30-day Mortality,6.06,17.0,209.0,Better,"(38.0041, -122.55376)"
2012-2013,Marin,Marin General Hospital,106211006,30-day Readmission,10.77,23.0,226.0,As Expected,"(37.94651, -122.53715)"
2012-2013,Marin,Marin General Hospital,106211006,30-day Mortality,10.05,31.0,239.0,As Expected,"(37.94651, -122.53715)"
2012-2013,Marin,Novato Community Hospital,106214034,30-day Readmission,10.03,5.0,48.0,As Expected,"(38.09749, -122.55887)"
2012-2013,Marin,Novato Community Hospital,106214034,30-day Mortality,14.56,9.0,51.0,As Expected,"(38.09749, -122.55887)"
2012-2013,Mendocino,Frank R. Howard Memorial Hospital,106230949,30-day Readmission,2.86,1.0,40.0,As Expected,"(39.40079, -123.34973)"
2012-2013,Mendocino,Frank R. Howard Memorial Hospital,106230949,30-day Mortality,7.5,4.0,40.0,As Expected,"(39.40079, -123.34973)"
2012-2013,Mendocino,Mendocino Coast District Hospital,106231013,30-day Readmission,12.25,3.0,30.0,As Expected,"(39.4326, -123.80068)"
2012-2013,Mendocino,Mendocino Coast District Hospital,106231013,30-day Mortality,10.89,5.0,31.0,As Expected,"(39.4326, -123.80068)"
2012-2013,Mendocino,Ukiah Valley Medical Center,106231396,30-day Readmission,17.46,17.0,104.0,As Expected,"(39.1528, -123.20363)"
2012-2013,Mendocino,Ukiah Valley Medical Center,106231396,30-day Mortality,14.96,20.0,113.0,As Expected,"(39.1528, -123.20363)"
2012-2013,Merced,Mercy Medical Center – Merced,106240942,30-day Readmission,10.3,29.0,258.0,As Expected,"(37.3402309, -120.4651815)"
2012-2013,Merced,Mercy Medical Center – Merced,106240942,30-day Mortality,8.22,32.0,275.0,As Expected,"(37.3402309, -120.4651815)"
2012-2013,Monterey,Community Hospital Monterey Peninsula,106270744,30-day Readmission,15.18,43.0,315.0,As Expected,"(36.59827, -121.92488)"
2012-2013,Monterey,Community Hospital Monterey Peninsula,106270744,30-day Mortality,11.33,35.0,335.0,As Expected,"(36.59827, -121.92488)"
2012-2013,Monterey,Salinas Valley Memorial Hospital,106270875,30-day Readmission,11.61,36.0,312.0,As Expected,"(36.66022, -121.6481)"
2012-2013,Monterey,Salinas Valley Memorial Hospital,106270875,30-day Mortality,6.46,20.0,324.0,Better,"(36.66022, -121.6481)"
2012-2013,Monterey,Natividad Medical Center,106274043,30-day Readmission,10.38,5.0,57.0,As Expected,"(36.69686, -121.6297)"
2012-2013,Monterey,Natividad Medical Center,106274043,30-day Mortality,0.0,0.0,57.0,As Expected,"(36.69686, -121.6297)"
2012-2013,Napa,Queen of the Valley Hospital – Napa,106281047,30-day Readmission,11.01,18.0,157.0,As Expected,"(38.32363, -122.296)"
2012-2013,Napa,Queen of the Valley Hospital – Napa,106281047,30-day Mortality,16.67,34.0,175.0,Worse,"(38.32363, -122.296)"
2012-2013,Napa,Saint Helena Hospital,106281078,30-day Mortality,11.53,9.0,63.0,As Expected,"(38.53937349, -122.473003)"
2012-2013,Napa,Saint Helena Hospital,106281078,30-day Readmission,10.36,6.0,57.0,As Expected,"(38.53937349, -122.473003)"
2012-2013,Nevada,Sierra Nevada Memorial Hospital,106291023,30-day Readmission,16.48,23.0,156.0,As Expected,"(39.22932, -121.04748)"
2012-2013,Nevada,Sierra Nevada Memorial Hospital,106291023,30-day Mortality,11.21,25.0,166.0,As Expected,"(39.22932, -121.04748)"
2012-2013,Orange,Orange Coast Memorial Medical Center,106300225,30-day Readmission,14.41,29.0,204.0,As Expected,"(33.70162, -117.95524)"
2012-2013,Orange,Orange Coast Memorial Medical Center,106300225,30-day Mortality,7.6,16.0,208.0,As Expected,"(33.70162, -117.95524)"
2012-2013,Orange,AHMC Anaheim Regional Medical Center,106301098,30-day Readmission,15.21,32.0,221.0,As Expected,"(33.84725, -117.93248)"
2012-2013,Orange,AHMC Anaheim Regional Medical Center,106301098,30-day Mortality,11.09,17.0,227.0,As Expected,"(33.84725, -117.93248)"
2012-2013,Orange,Kaiser Foundation Hospital – Orange County – Lakeview,106301132,30-day Readmission,9.28,19.0,200.0,As Expected,"(33.85295, -117.81603)"
2012-2013,Orange,Kaiser Foundation Hospital – Orange County – Lakeview,106301132,30-day Mortality,9.35,14.0,204.0,As Expected,"(33.85295, -117.81603)"
2012-2013,Orange,Fountain Valley Regional Hospital and Medical Center – Euclid,106301175,30-day Readmission,11.13,56.0,456.0,As Expected,"(33.71546, -117.93694)"
2012-2013,Orange,Fountain Valley Regional Hospital and Medical Center – Euclid,106301175,30-day Mortality,6.88,35.0,480.0,Better,"(33.71546, -117.93694)"
2012-2013,Orange,Hoag Memorial Hospital Presbyterian,106301205,30-day Readmission,13.59,101.0,813.0,As Expected,"(33.62526, -117.92949)"
2012-2013,Orange,Hoag Memorial Hospital Presbyterian,106301205,30-day Mortality,8.72,76.0,846.0,As Expected,"(33.62526, -117.92949)"
2012-2013,Orange,Huntington Beach Hospital,106301209,30-day Readmission,16.93,10.0,54.0,As Expected,"(33.70442, -117.98895)"
2012-2013,Orange,Huntington Beach Hospital,106301209,30-day Mortality,6.83,4.0,55.0,As Expected,"(33.70442, -117.98895)"
2012-2013,Orange,La Palma Intercommunity Hospital,106301234,30-day Readmission,5.1,4.0,76.0,As Expected,"(33.8485, -118.03737)"
2012-2013,Orange,La Palma Intercommunity Hospital,106301234,30-day Mortality,6.96,4.0,78.0,As Expected,"(33.8485, -118.03737)"
2012-2013,Orange,Los Alamitos Medical Center,106301248,30-day Readmission,12.5,44.0,381.0,As Expected,"(33.80327, -118.0674)"
2012-2013,Orange,Los Alamitos Medical Center,106301248,30-day Mortality,10.56,49.0,397.0,As Expected,"(33.80327, -118.0674)"
2012-2013,Orange,Mission Hospital Regional Medical Center,106301262,30-day Readmission,13.48,55.0,438.0,As Expected,"(33.56279, -117.66768)"
2012-2013,Orange,Mission Hospital Regional Medical Center,106301262,30-day Mortality,9.77,57.0,470.0,As Expected,"(33.56279, -117.66768)"
2012-2013,Orange,UC Irvine Medical Center,106301279,30-day Readmission,12.05,41.0,338.0,As Expected,"(33.7889, -117.89064)"
2012-2013,Orange,UC Irvine Medical Center,106301279,30-day Mortality,11.71,47.0,369.0,As Expected,"(33.7889, -117.89064)"
2012-2013,Orange,Garden Grove Hospital and Medical Center,106301283,30-day Readmission,8.82,7.0,79.0,As Expected,"(33.7745089, -117.9130315)"
2012-2013,Orange,Garden Grove Hospital and Medical Center,106301283,30-day Mortality,6.3,4.0,81.0,As Expected,"(33.7745089, -117.9130315)"
2012-2013,Orange,Placentia Linda Hospital,106301297,30-day Readmission,17.6,12.0,77.0,As Expected,"(33.88704521, -117.8431129)"
2012-2013,Orange,Placentia Linda Hospital,106301297,30-day Mortality,14.18,11.0,78.0,As Expected,"(33.88704521, -117.8431129)"
2012-2013,Orange,Saddleback Memorial Medical Center,106301317,30-day Readmission,14.31,54.0,405.0,As Expected,"(33.60796, -117.70837)"
2012-2013,Orange,Saddleback Memorial Medical Center,106301317,30-day Mortality,12.12,72.0,432.0,As Expected,"(33.60796, -117.70837)"
2012-2013,Orange,Saint Joseph Hospital – Orange,106301340,30-day Readmission,14.31,56.0,426.0,As Expected,"(33.7823, -117.86516)"
2012-2013,Orange,Saint Joseph Hospital – Orange,106301340,30-day Mortality,11.65,53.0,447.0,As Expected,"(33.7823, -117.86516)"
2012-2013,Orange,Saint Jude Medical Center,106301342,30-day Readmission,11.42,62.0,533.0,As Expected,"(33.89349, -117.92851)"
2012-2013,Orange,Saint Jude Medical Center,106301342,30-day Mortality,9.12,70.0,560.0,As Expected,"(33.89349, -117.92851)"
2012-2013,Orange,West Anaheim Medical Center,106301379,30-day Readmission,12.06,16.0,118.0,As Expected,"(33.82482, -117.99492)"
2012-2013,Orange,West Anaheim Medical Center,106301379,30-day Mortality,10.0,14.0,123.0,As Expected,"(33.82482, -117.99492)"
2012-2013,Orange,Western Medical Center – Santa Ana,106301566,30-day Readmission,9.92,16.0,173.0,As Expected,"(33.75361, -117.83398)"
2012-2013,Orange,Western Medical Center – Santa Ana,106301566,30-day Mortality,11.98,24.0,190.0,As Expected,"(33.75361, -117.83398)"
2012-2013,Orange,Kaiser Foundation Hospital – Orange County – Anaheim,106304409,30-day Readmission,13.56,32.0,250.0,As Expected,"(33.8544317, -117.8439815)"
2012-2013,Orange,Kaiser Foundation Hospital – Orange County – Anaheim,106304409,30-day Mortality,9.97,23.0,259.0,As Expected,"(33.8544317, -117.8439815)"
2012-2013,Placer,Sutter Auburn Faith Hospital,106310791,30-day Readmission,6.57,11.0,174.0,Better,"(38.94452, -121.0982)"
2012-2013,Placer,Sutter Auburn Faith Hospital,106310791,30-day Mortality,9.78,20.0,177.0,As Expected,"(38.94452, -121.0982)"
2012-2013,Placer,Sutter Roseville Medical Center,106311000,30-day Readmission,10.04,47.0,469.0,As Expected,"(38.76439, -121.25055)"
2012-2013,Placer,Sutter Roseville Medical Center,106311000,30-day Mortality,12.96,73.0,501.0,As Expected,"(38.76439, -121.25055)"
2012-2013,Placer,Kaiser Foundation Hospital – Roseville,106314024,30-day Readmission,9.67,49.0,479.0,As Expected,"(38.74636, -121.25107)"
2012-2013,Placer,Kaiser Foundation Hospital – Roseville,106314024,30-day Mortality,10.33,66.0,500.0,As Expected,"(38.74636, -121.25107)"
2012-2013,Riverside,Corona Regional Medical Center – Main,106331152,30-day Readmission,10.13,14.0,140.0,As Expected,"(33.8733354, -117.5668015)"
2012-2013,Riverside,Corona Regional Medical Center – Main,106331152,30-day Mortality,12.24,19.0,147.0,As Expected,"(33.8733354, -117.5668015)"
2012-2013,Riverside,Desert Regional Medical Center,106331164,30-day Readmission,12.43,61.0,536.0,As Expected,"(33.83932, -116.54549)"
2012-2013,Riverside,Desert Regional Medical Center,106331164,30-day Mortality,11.16,60.0,556.0,As Expected,"(33.83932, -116.54549)"
2012-2013,Riverside,Eisenhower Medical Center,106331168,30-day Readmission,11.17,82.0,807.0,As Expected,"(33.76418, -116.40808)"
2012-2013,Riverside,Eisenhower Medical Center,106331168,30-day Mortality,11.75,95.0,831.0,As Expected,"(33.76418, -116.40808)"
2012-2013,Riverside,Hemet Valley Medical Center,106331194,30-day Readmission,13.76,49.0,351.0,As Expected,"(33.75113, -116.95958)"
2012-2013,Riverside,Hemet Valley Medical Center,106331194,30-day Mortality,12.0,61.0,374.0,As Expected,"(33.75113, -116.95958)"
2012-2013,Riverside,John F. Kennedy Memorial Hospital,106331216,30-day Readmission,20.04,17.0,87.0,As Expected,"(33.70677, -116.23391)"
2012-2013,Riverside,John F. Kennedy Memorial Hospital,106331216,30-day Mortality,10.04,8.0,90.0,As Expected,"(33.70677, -116.23391)"
2012-2013,Riverside,Parkview Community Hospital Medical Center,106331293,30-day Readmission,18.67,32.0,176.0,As Expected,"(33.92573, -117.43996)"
2012-2013,Riverside,Parkview Community Hospital Medical Center,106331293,30-day Mortality,12.16,18.0,186.0,As Expected,"(33.92573, -117.43996)"
2012-2013,Riverside,Riverside Community Hospital,106331312,30-day Readmission,14.96,72.0,470.0,As Expected,"(33.97641, -117.37997)"
2012-2013,Riverside,Riverside Community Hospital,106331312,30-day Mortality,12.0,50.0,487.0,As Expected,"(33.97641, -117.37997)"
2012-2013,Riverside,San Gorgonio Memorial Hospital,106331326,30-day Readmission,11.73,10.0,89.0,As Expected,"(33.9295, -116.94678)"
2012-2013,Riverside,San Gorgonio Memorial Hospital,106331326,30-day Mortality,10.57,10.0,93.0,As Expected,"(33.9295, -116.94678)"
2012-2013,Riverside,Menifee Valley Medical Center,106334018,30-day Readmission,20.01,16.0,82.0,As Expected,"(33.72146, -117.15691)"
2012-2013,Riverside,Menifee Valley Medical Center,106334018,30-day Mortality,11.44,12.0,85.0,As Expected,"(33.72146, -117.15691)"
2012-2013,Riverside,Kaiser Foundation Hospital – Riverside,106334025,30-day Readmission,8.92,21.0,227.0,As Expected,"(33.9063, -117.47082)"
2012-2013,Riverside,Kaiser Foundation Hospital – Riverside,106334025,30-day Mortality,13.25,23.0,237.0,As Expected,"(33.9063, -117.47082)"
